festival_id,theme_id,festival_place,festival_start_dte,festival_end_date,festival_content,festival_phonenum,festival_site,festival_road_name_addr,festival_lotnum_addr,festival_lat,festival_long
백화산 해맞이 행사,-,백화산 정상,2022-01-01,2022-01-01,신년 해맞이 소원 풍선 날리기,041-670-2768,,충청남도 태안군 태안읍 상옥리 산139-2,충청남도 태안군 태안읍 상옥리 산139-2,36.7674649,126.3019641
연포 해맞이 행사,-,연포해수욕장,2022-01-01,2022-01-01,신년 해맞이 소원 풍선 날리기,041-670-2768,,충청남도 태안군 근흥면 도황리 1526-170,충청남도 태안군 근흥면 도황리 1526-170,36.69434027,126.2101823
서면 드림 축제,-,미정,2022-01-01,2022-12-31,드림 축제,061-749-8135,,전라남도 순천시 서면 임촌동길 94,,,
지봉로 상사화 축제,-,왕조2동 지봉로,2022-01-01,2022-12-31,음악회+ 공연+ 체험행사+ 판매부스 등,061-749-8407,,전라남도 순천시 조례신대길 62,,,
천태만상 상권연계 공감 페스티벌,-,시민로 일대,2022-01-01,2022-12-31,패션쇼+ 공연+ 네일아트+ 뷰티체험 등 부스운영+,061-749-8538,,전라남도 순천시 장명로 30,,,
코로나19에 따른 축제 취소,-,코로나19에 따른 축제 취소,2022-01-01,2022-12-31,코로나19에 따른 축제 취소,053-662-4072,,대구광역시 동구 아양로 207,,35.88681058,128.6360751
코로나로 인한 무기한 연기,-,미정,2022-01-01,2022-12-31,미정,,,경상남도 산청군 산청읍 산엔청로 1,,,
코로나로 인해 전체 일정 취소,-,코로나로 인해 전체 일정 취소,2022-01-01,2022-01-01,코로나로 인해 전체 일정 취소,,,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,37.56759867,126.8537291
양양문화제,-,양양남대천 둔치 및 부대행사장,2022-01-01,2022-01-01,2022년 양양문화제 미개최,033-670-2795,https://tour.yangyang.go.kr/tour/festival/festival_culture,,강원도 양양군 양양읍 남문리 226-2,38.07312233,128.6241919
황영조 국제 마라톤 대회,-,엑스포광장~근덕면 일원,2022-01-01,2022-01-01,국제 마라톤 대회(코로나-19로 인하여 대회 취소),033-570-3813,http://www.samcheokmarathon.com/,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 1-5,37.43896231,129.160145
해맞이 행사,-,오봉산 등,2022-01-01,2022-01-01,새해 소원빌기 행사+ 새해안녕기원행사+해맞이공연+ 먹거리제공 등,053-665-2795,,,대구광역시 북구 침산동 1643-45,35.93240689,128.567486
영동곶감축제,-,온라인,2022-01-05,2022-01-25,LIVE 곶감 판매행사,043-745-8916,http://www.ydfesta.com/,충청북도 영동군 영동읍 영동황간로122,충청북도 영동군 영동읍 매천리313,36.16401625,127.7819484
2022 영동곶감축제,-,온라인,2022-01-05,2022-01-25,온라인 곶감판매장터+라이브커머스 등,043-745-8916,,충청북도 영동군 영동읍 동정로 1,,,
지리산 바래봉 눈꽃축제,-,지리산허브밸리 일원,2022-01-22,2022-01-23,눈꽃 겨울 캠핑체험+ 농특산품 홍보 등,063-620-3818,http://www.namwon.go.kr/tour/index.do,전라북도 남원시 운봉읍 바래봉길 214,전라북도 남원시 운봉읍 용산리 446-3,35.43509151,127.5486169
홍성남당항새조개축제,-,남당항 일원,2022-01-24,2022-02-06,비대면 온라인 판매 행사 등,041-634-0104,https://www.hongseong.go.kr/prog/tursmCn/tour/sub03_04/view.do?cntNo=44,충청남도 홍성군 서부면 남당항로213번길 25-62,충청남도 홍성군 서부면 남당리 863,36.53503195,126.467178
삼척정월대보름축제,-,우체국일원,2022-01-28,2022-02-20,정월대보름제 기념 시설 설치+  재례행사,033-573-2882,http://www.fullmoonfestival.or.kr/,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 1-5,37.43896231,129.160145
장 담그는날 행사,-,광주광역시 남구 콩 종합센터,2022-01-29,2022-02-27,장담그기,062-385-0455,http://www.namgu.gwangju.kr/menu.es?mid=a70303000000,광주광역시 남구 압촌길78,광주광역시 남구 압촌동101-1,35.09241574,126.8386216
2022 지금여기 금정 관광후기 이벤트,-,금정구 일대,2022-02-01,2022-11-30,금정을 여행하는 누구나 나만의 금정 관광후기를 공유하고 타인의 관광후기를 공유 받을 수 있음,051-519-4081,,,부산광역시 금정구 중앙대로 1777,35.2428426,129.0921739
지리산 뱀사골 고로쇠 약수제,-,남원시 산내면 부운리 반선주차장,2022-02-14,2022-03-31,고로쇠 홍보 및 판매+ 기념식 등,063-620-4705,http://www.namwon.go.kr/tour/index.do,전라북도 남원시 산내면 지리산로 842-8,전라북도 남원시 산내면 부운리 216-10,35.3769935,127.581604
고싸움놀이축제,-,칠석동 고싸움놀이테마파크,2022-02-14,2022-02-16,고싸움놀이 시연+무형문화재 초청공연+민속놀이 체험,062-607-2315,www.goodmorningyangrim.com,광주광역시 남구 고싸움로 2,광주광역시 남구 칠석동 619,35.069718,126.8375167
달맞이축제,-,울릉예술문화체험장(구.장흥초등학교),2022-02-15,2022-02-15,달집태우기,054-790-6426,http://www.ulleung.go.kr/tour/page.htm?mnu_uid=1994&,경상북도 울릉군 울릉읍 옥천길 8,,37.47367561,130.8875026
정월대보름 달맞이문화제,-,달성군민체육관,2022-02-15,2022-02-15,기원제+달집태우기+축하공연,053-668-2174,http://culture.dalseong.daegu.kr,대구광역시 달성군 현풍읍 현풍중앙로 130,,,
금호강 정월대보름축제,-,산격대교 하단,2022-02-15,2022-02-15,달집태우기+ 달맞이 행사 등,053-665-2172,,,대구광역시 북구 산격동 1477-1,35.90892344,128.6033802
풍암골 신암마을 당산제,-,풍암 제7어린이공원내 (풍암동1129),2022-02-15,2022-02-15,(코로나19로 인한 취소) 민속고유 명절인 대보름을 맞이하여 사라져가는 전통세시풍속인 당산제를 재현하여 지역 주민들의 평안과 발전 및 풍요다산을 기원,062-350-4988,https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,,광주광역시 서구 풍암동 1129,35.12401153,126.8815859
제20회 사상전통달집놀이,-,삼락생태공원,2022-02-15,2021-02-15,사상전통달집 놀이,051-310-4062,http://www.sasangculture.or.kr/,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397
광주 칠석 고싸움놀이,-,광주광역시 남구 칠석동 고싸움 놀이테마파크,2022-02-15,2022-02-15,고싸움놀이,062-374-3839,http://www.gossaum.com,광주광역시 남구 칠석길28,광주광역시 남구 칠석동127-1,35.07041066,126.8384016
봉황각 3.1독립운동 재현행사,-,서울특별시 강북구 우이동 봉황각 일원,2022-03-01,2022-03-01,도선사 타종 및 손병희묘소 참배,02-901-6207,www.gangbuk.go.kr,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66019851,127.0060603
(축제 취소)광양매화축제,-,다압면 섬진마을 일원,2022-03-01,2022-03-11,공연+경연+체험+전시+판매+부대행사,061-797-2721,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675
원동미나리축제,-,원동 함포마을 일원,2022-03-01,2022-03-31,(축제취소)미나리 시식회 및 특산물 판매+ 원동미나리 직판장 개설운영,055-392-3232,http://tour.yangsan.go.kr/,경상남도 양산시 원동면 원동로 1708,경상남도 양산시 원동면 원리 414-8,35.38015379,128.9211173
원동매화축제,-,원동마을 일원,2022-03-02,2022-03-20,(비대면)원동매화 나무 분양 이벤트+ 원동매화 사진/영상 공모 기획전,055-392-2548,http://www.yangsanfes.com/,경상남도 양산시 원동면 원동로 2220,경상남도 양산시 원동면 영포리 537,35.42085217,128.9410364
선암매화제,-,선암사,2022-03-04,2022-03-06,매화 산책로+ 선암매화 사진공모전+ 음악회 등 개최 등,061-749-8876,,전라남도 순천시 승주읍 선암사길 450,,,
제18회 진안고원 운장산 고로쇠축제,-,주천면 운일암반일암 삼거광장,2022-03-11,2022-03-11,고로쇠 판매 및 체험 등,063-430-2393,https://jinan.go.kr/tour/sub_2/?p=1&n=10,전라북도 진안군 주천면 대불리 75-1,전라북도 진안군 주천면 대불리 75-1,35.98388102,127.3882948
단기4355년 어천절 대제전,-,사직동 단군성전,2022-03-15,2022-03-15,국조 단군의 승천을 기념하는 전통제례 봉행 및 부대행사,02-736-6375,http://blog.naver.com/lgb301,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,37.5758942,126.9658016
(코로나19로 행사취소)합천벚꽃마라톤대회,-,백리벚꽃길 코스,2022-03-20,2022-03-20,벚꽃길에서 펼쳐지는 달리미들의 대향연,055-930-4943,https://www.hc.go.kr/06573/06623/06624.web,경상남도 합천군 대병면 합천호수로 197,경상남도 합천군 대병면 회양리 1603-1,35.531585,128.0295197
휴애리 봄 수국축제,-,휴애리자연생활공원,2022-03-25,2022-05-31,정성스럽게 키운 다양한 수국을 온실. 수국정원. 등 공원 곳곳에서 감상할 수 있어 제주도민과 상춘객에게 인기가 좋은 제주 대표 봄 축제,064-732-2114,http://hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,,,
2022 하영올레 걷기 축제,-,하영올레 코스,2022-03-25,2022-03-27,일자별 코스 걷기. 길 위의 이벤트 등,064-760-2655,http://hayoungolle.com,제주특별자치도 서귀포시 중앙로 105,,33.25420363,126.5602182
순천향매실 동네방네 매화축제,-,향매실체험관계월리,2022-03-25,2022-03-25,매화꽃길 걷기+ 매실체험행사+ 농가직거래장터 등,061-749-8088,,전라남도 순천시 월등면 계월리 491-1,,,
여수영취산진달래체험행사,-,영취산일원 돌고개,2022-03-25,2022-03-27,산신제+진달래백일장+사생대회+체험행사,061-659-4742,,전라남도 여수시 흥국사길 160,전라남도 여수시 월내동 547,34.82281621,127.7016059
2022년 연제고분판타지 왕가의행렬전,-,온천천시민공원 일원,2022-03-25,2022-04-10,전시행사,051-665-4065,,,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826
제24회 서귀포유채꽃국제걷기대회,-,제주월드컵경기장일원,2022-03-26,2022-03-27,코로나19로 지친 몸과 마음을 달랠 수 있는 유채꽃 걷기 대회,064-760-3320,https://cafe.daum.net/seogwipo-walking,제주특별자치도 서귀포시 월드컵로 33,,33.24621937,126.5092753
조곡동벚꽃축제,-,남도교통(조곡동665-1)앞,2022-03-26,2022-03-27,체험부스+ 먹거리부스 운영,061-749-8387,,전라남도 순천시 용당둑길 121,,,
2022 물금 벚꽃 축제,-,양산시 황산공원 일원,2022-03-26,2022-03-30,(비대면)축하공연+ 공연행사+ 지역주민참여행사+ 문화전시행사 등,055-392-7012,,경상남도 양산시 물금읍 낙동로 295-9,경상남도 양산시 물금읍 물금리 172-2,35.30173083,128.9895949
배내골고로쇠축제,-,배내골홍보관,2022-03-26,2022-03-27,(축제취소)고로쇠 시음회+ 체험행사+ 문화공연 등,055-392-3232,http://tour.yangsan.go.kr/,경상남도 양산시 원동면 배내로 431,경상남도 양산시 원동면 선리 1421-5,35.4865568,128.985548
제12회 삼락벚꽃축제,-,삼락생태공원,2022-03-26,2022-03-27,삼락벚꽃축제,051-310-3002,,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397
제19회 사상강변축제,-,삼락생태공원,2022-03-26,2022-03-27,사상강변축제,051-310-4062,http://www.sasangculture.or.kr/,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397
벚꽃주간 버스킹 음악회,-,구미시,2022-03-31,2022-04-10,버스킹 공연,054-451-4422,http://www.gumiart.net/,경상북도 구미시 금오산로 218,경상북도 구미시 남통동 414-17,36.11997866,128.3209145
비슬산 참꽃문화제,-,비슬산 자연휴양림 일원,2022-04-01,2022-04-30,개막식+가요제+부대행사+체험부스,053-659-4292,http://culture.dalseong.daegu.kr,대구광역시 달성군 유가읍 양리 산1,,,
(축제 취소)백운산국사봉철쭉축제,-,옥곡면 국사봉랜드,2022-04-01,2022-04-04,공연+경연+체험+전시+판매+부대행사,061-797-4233,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825
선도 수선화 축제,-,지도읍 선도,2022-04-01,2022-04-10,체험프로그램+자전거타기,,https://tour.shinan.go.kr/,전라남도 신안군 지도읍 선도길 72-26,,,
대금산진달래축제,-,대금산 중턱,2022-04-01,2022-04-30,대금산에 만개하는 진달래를 배경으로 펼쳐지는 축제,055-639-6724,,,경상남도 거제시 연초면 명동리 산 21,34.954281,128.6999381
산방산삼월삼짇날축제,-,산방산 임도,2022-04-01,2022-04-30,따뜻한 봄기운이 감도는 삼월 삼짇날 산방산에서 열리는 축제,055-639-6592,,,경상남도 거제시 둔덕면 산방리 331-1,34.85879629,128.524091
2022년 울산병영3.1만세운동 제22회 재현행사,-,울산 중구 병영 일원,2022-04-04,2022-04-05,위령제+삼일만세운동재현행사+부대행사,052-290-3664,,울산광역시 중구 남외동 488-5,울산광역시 중구 남외동 488-5,,
2022 양산봄꽃축제,-,신기동 양산천둔치 유채꽃단지 일원,2022-04-05,2022-04-13,(축제취소)튤립동산+ 포토존+ 풍차+ 꽃탑 등,055-392-5343,,경상남도 양산시 신기강변로 26(신기동),경상남도 양산시 북부동 671-1,35.35002163,129.0341247
2022 제주유채꽃축제,-,가시리 유채꽃광장 일대,2022-04-08,2022-04-10,가시리 명소탐방. 유채꽃 버스킹,064-760-3946,http://www.jejuflowerfestival.com/,제주특별자치도 서귀포시 표선면 녹산로 381-15,,33.38309593,126.7362847
신안튤립축제,-,신안튤립공원(임자도대광해변일원),2022-04-08,2022-04-17,예술공연+사진촬영대회+섬등산대회+각종 체험행사,061-240-4041,https://tour.shinan.go.kr/,전라남도 신안군 임자면 대광해수욕장길 179,,35.10291276,126.0725117
여주도자기축제,-,여주 프리미엄아울렛 EAST광장 일원,2022-04-08,2022-04-17,여주 도자기 전시 및 판매+ 공연 등,031-881-9693,www.yjcf.or.kr,경기도 여주시 명품로 360,경기도 여주시 상거동 460,,
청소년 어울림마당 행복누리축제,-,의정부시청소년수련관,2022-04-09,2022-11-19,공연마당+ 이벤트마당+ 체험마당,031-828-9544,http://www.uiyouth.or.kr,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
낙동강유채꽃축제,-,대저생태공원,2022-04-09,2022-04-17,축제취소+ 자율관람,051-888-5222,http://www.bfo.or.kr/main/index.asp,부산광역시 강서구 공항로 1246(대저1동),부산광역시 강서구 대저1동 2314-11,35.20985086,128.9845591
2022 진안고원 꽃잔디축제,-,꽃잔디동산 및 원연장마을,2022-04-09,2022-05-08,꽃잔디 판매 외(코로나19 확산방지를 위한 축제 취소),063-430-2393,https://jinan.go.kr/tour/sub_2/?p=1&n=2,전라북도 진안군 진안읍 연장리 산 23-1,전라북도 진안군 진안읍 연장리 산 23-1,35.781374,127.397279
4.19혁명 국민문화제 2020,-,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2022-04-09,2022-04-19,4.19혁명 기념 국민문화제,02-901-6205,www.festival419.org,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518
청소년 문화 예술의 밤 흥선비긴어게인,-,평화의광장,2022-04-09,2022-10-01,청소년 버스킹+ 체험부스 및 플리마켓+ 토크쇼,031-828-9593,http://www.uiyouth.or.kr,경기도 의정부시 시민로19번길 13,경기도 의정부시 의정부동 488,37.7386919,127.0357766
전통산사문화재,-,원효사 일원,2022-04-11,2022-11-30,원효사일대 체험 프로그램,062-410-8369,https://www.wonhyosa.org/171,광주광역시 북구 무등로 1514-35,광주광역시 북구 금곡동 846,35.14863464,126.985744
생생문화재,-,충효동 일원,2022-04-11,2022-11-30,지역문화재활용 체험프로그램(김덕령장군),062-410-8369,http://www.munhwahouse.or.kr/bbs/board.php?bo_table=bch_program&sca=생생문화재,,광주광역시 북구 충효동 911,35.18482092,127.000917
태하성하신당제,-,서면 태하 성하신당,2022-04-12,2022-04-12,기원행사,054-790-6426,http://www.ulleung.go.kr/tour/page.htm?mnu_uid=1990&,경상북도 울릉군 서면 태하길 154,,37.51222566,130.800884
<다르게 조금 더 가깝게>展,-,의정부미술도서관,2022-04-13,2022-06-15,김유정+ 박수이+ 이해성 작가의 작품 전시,031-828-8870,https://www.uilib.go.kr/art,경기도 의정부시 민락로 248,,37.745147,127.106129
제8회 낙안읍성 전국 국악대전,-,낙안읍성 일원,2022-04-15,2022-04-16,판소리 경연대회 등,061-749-8838,,전라남도 순천시 낙안면 충민길 1,,,
양지암축제,-,양지암공원,2022-04-15,2022-04-30,푸른바다를 두른 양지암과 조각품의 아름다움에 취하다,055-639-6797,,,경상남도 거제시 능포동 408-2,34.87881823,128.736205
빈센트의 봄,-,장성역 광장+장성공원 일원,2022-04-16,2022-04-17,공연+체험+판매행사 등,061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival,,전라남도 장성군 장성읍 영천리 1273-5,35.29995636,126.780147
상효원수목원 봄꽃축제,-,상효원수목원,2022-04-16,2022-05-15,제주를 찾는 여행객에게 아름다운 봄꽃과 제주의 자연을 선보인다.,064-733-2200,http://www.sanghyowon.com/,제주특별자치도 서귀포시 산록남로 2847-37,,,
마노르블랑 수국축제,-,마노르블랑카페,2022-04-18,2022-08-31,수국축제의 향연. 전세계 30여종 7천여본 수국들을 만나다,064-794-0999,https://manorblanc.modoo.at/,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,,
인천연등축제,-,인천애뜰광장 및 송도컨벤시아,2022-04-22,2022-05-13,봉축탑 점등·전시 등,,,인천광역시 남동국 정각로 29+ 인천 연수구 센트럴로 123 송도컨벤시아,,,
계양산국악제,-,계산체육공원+계양문화회관,2022-04-22,2022-04-24,국악경연대회(예선 : 온라인심사+ 결선 : 대면심사)+ 축하+기획+특별공연(온오프병행),032-450-5874,,인천광역시 계양구 주부토로570,,37.54607851,126.7181298
용문산산나물축제,-,용문산관광지일대,2022-04-22,2022-04-24,양평 용문산 산나물 축제는 산나물의 맛과 향기를 느낄수 있는 신나는 공연+ 즐거운 체험과 전+산나물 요리등 다채로운 축제,031-770-2308,www.ypsannamul.kr,경기도 양평군 용문면 용문산로 782,경기도 양평군 용문면 신점리 625,37.55023222,127.5704646
제26회 한라산청정고사리축제,-,축제홈페이지,2022-04-23,2022-04-24,대한민국 관광 일번지 제주를 걷고 보고 만지고 느끼는 축제입니다.,064-760-4181,http://www.jejugosari.net/,제주특별자치도 서귀포시 남원읍 태위로 695,,33.2798959,126.720677
순천시 책 축제,-,버드네공원,2022-04-23,2022-04-23,지역 독서문화확산을 위한 독서활동체험 및 시민나눔장터 운영,061-749-6992,,전라남도 순천시 해룡면 기적의도서관2길 21,,,
봉화산 철쭉제,-,남원시 아영면 봉화산 일원,2022-04-23,2022-04-23,봉화산 철쭉 테마공연 등,063-620-4084,http://www.namwon.go.kr/tour/index.do,전라북도 남원시 아영면 성리 산56-6,전라북도 남원시 아영면 성리 산56-6,35.52409108,127.576659
거제맹종대나무축제,-,거제맹종죽테마파크,2022-04-28,2022-05-01,봄의 기운이 더욱 푸르러지는 4월. 하청면의 명소 거제맹종죽 테마파크 죽림포레스티벌로의 초대,055-639-6353,,,경상남도 거제시 하청면 실전리 산 84-6,34.96780022,128.651027
지리산 바래봉 철쭉제,-,지리산허브밸리 일원,2022-04-28,2022-05-22,산신제+ 바래봉 철쭉 및 지역 농특산품 홍보 등,063-620-3818,http://www.namwon.go.kr/tour/index.do,전라북도 남원시 운봉읍 바래봉길 214,전라북도 남원시 운봉읍 용산리 446-3,35.43509151,127.5486169
제23회 전주국제영화제,-,고사동영화의거리 일대,2022-04-28,2022-05-07,우수한 국내외 영화를 소개하는 영화축제의 장,063-280-7914,https://www.jeonjufest.kr/,전라북도 전주시 완산구 전주객사4길 74-12,전라북도 전주시 완산구 고사동 181,35.8208219,127.1437421
단종문화제,-,장릉 및 영월읍 일원,2022-04-29,2022-05-01,조신시대국장재현+정순왕후선발대회+야간칡줄다리기,033-375-6353,http://www.ywcf.com/,강원도 영월군 영월읍 단종로 24,강원도 영월군 영월읍 영흥리 961-2,37.18609549,128.4681825
태백 천상의 산나물 축제,-,황지연못 일원,2022-04-29,2022-05-01,전시+ 홍보+ 판매+ 영상 프로그램 진행,033-550-2420,http://tbcf.or.kr/,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,37.10051315,129.0082172
나비대축제,-,함평엑스포공원 및 함평읍시가지 제2무대 일원,2022-04-29,2022-05-08,함평나비 희망의 날개를 펴다(부제 : 다시 만나는 나비 세상),061-320-2238,https://www.hpftf.or.kr/contentsView.do?pageId=www42,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056
백운계곡 뜬구름 축제,-,백운계곡 일대,2022-04-30,2022-05-22,장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등,,,경기도 포천시 이동면 포화로148,,38.07007473,127.4018616
문경찻사발축제,-,문경새재 오픈세트장,2022-04-30,2022-05-08,대한민국 도예 명장전 등 전시행사+왕의 찻자리 등 체험행사+사기장의 하루+차담이 어드벤처 등 특별행사,054-550-6395,http://www.sabal21.com,경상북도 문경시 문경읍 문경대로 2416,경상북도 문경시 문경읍 진안리 360-10,36.74062871,128.0845639
어린이 축제,-,한중문화관/영종역사관,2022-04-30,2022-05-01,공연+ 전시+ 전통놀이 등,032-777-9113,https://blog.naver.com/ijcf_official,인천광역시 중구 제물량로 238,인천광역시 중구 항동1가 1-2,,
문화놀이터 축제,-,도시재생구역,2022-05-01,2022-05-31,도시재생 뉴딜사업 중심시가지형 문화놀이터 축제,061-749-3034,,전라남도 순천시 장명로 30,,,
